dispatching_base_number,Date/Time,active_vehicles,trips,Hour,Day,DayOfWeek,Month
B02598,2015-01-22,1071,9080,0,22,3,1
B02682,2015-01-22,1295,10699,0,22,3,1
B02765,2015-01-22,295,2038,0,22,3,1
B02598,2015-01-23,1093,9343,0,23,4,1
B02512,2015-01-23,246,1670,0,23,4,1
B02765,2015-01-23,299,2162,0,23,4,1
B02764,2015-01-23,4040,33756,0,23,4,1
B02617,2015-01-23,1482,13121,0,23,4,1
B02682,2015-01-23,1330,11767,0,23,4,1
B02598,2015-01-24,945,10040,0,24,5,1
B02764,2015-01-24,3652,39187,0,24,5,1
B02512,2015-01-24,211,1608,0,24,5,1
B02617,2015-01-24,1367,14143,0,24,5,1
B02682,2015-01-24,1223,13355,0,24,5,1
B02765,2015-01-24,245,2376,0,24,5,1
B02512,2015-01-25,183,1190,0,25,6,1
B02764,2015-01-25,3300,28066,0,25,6,1
B02765,2015-01-25,226,1755,0,25,6,1
B02598,2015-01-25,829,7219,0,25,6,1
B02682,2015-01-25,1046,9303,0,25,6,1
B02617,2015-01-25,1203,10362,0,25,6,1
B02617,2015-01-26,1150,7608,0,26,0,1
B02598,2015-01-26,860,5919,0,26,0,1
B02765,2015-01-26,230,1363,0,26,0,1
B02764,2015-01-26,3012,19940,0,26,0,1
B02682,2015-01-26,1084,7565,0,26,0,1
B02512,2015-01-26,197,1000,0,26,0,1
B02682,2015-01-27,600,4414,0,27,1,1
B02765,2015-01-27,135,921,0,27,1,1
B02617,2015-01-27,596,4325,0,27,1,1
B02598,2015-01-27,434,2957,0,27,1,1
B02512,2015-01-27,112,629,0,27,1,1
B02764,2015-01-27,1619,11998,0,27,1,1
B02764,2015-01-28,3692,28137,0,28,2,1
B02682,2015-01-28,1235,10025,0,28,2,1
B02765,2015-01-28,286,1913,0,28,2,1
B02617,2015-01-28,1356,10862,0,28,2,1
B02598,2015-01-28,1011,8071,0,28,2,1
B02512,2015-01-28,235,1438,0,28,2,1
B02617,2015-01-29,1474,12600,0,29,3,1
B02764,2015-01-29,3959,31637,0,29,3,1
B02682,2015-01-29,1316,11485,0,29,3,1
B02765,2015-01-29,295,2086,0,29,3,1
B02512,2015-01-29,250,1687,0,29,3,1
B02598,2015-01-29,1082,9499,0,29,3,1
B02512,2015-01-30,256,2016,0,30,4,1
B02617,2015-01-30,1501,14793,0,30,4,1
B02682,2015-01-30,1384,13852,0,30,4,1
B02764,2015-01-30,4124,39110,0,30,4,1
B02765,2015-01-30,322,2785,0,30,4,1
B02598,2015-01-30,1106,11167,0,30,4,1
B02765,2015-01-31,309,3282,0,31,5,1
B02512,2015-01-31,225,1892,0,31,5,1
B02617,2015-01-31,1394,15756,0,31,5,1
B02682,2015-01-31,1321,15388,0,31,5,1
B02764,2015-01-31,3947,44297,0,31,5,1
B02598,2015-01-31,1027,11642,0,31,5,1
B02598,2015-02-01,961,9499,0,1,6,2
B02682,2015-02-01,1214,12436,0,1,6,2
B02512,2015-02-01,193,1377,0,1,6,2
B02765,2015-02-01,289,2672,0,1,6,2
B02617,2015-02-01,1355,13458,0,1,6,2
B02764,2015-02-01,3740,37468,0,1,6,2
B02617,2015-02-02,1217,12216,0,2,0,2
B02682,2015-02-02,1152,11981,0,2,0,2
B02765,2015-02-02,275,2607,0,2,0,2
B02598,2015-02-02,939,9511,0,2,0,2
B02764,2015-02-02,3270,30761,0,2,0,2
B02512,2015-02-02,227,1904,0,2,0,2
B02765,2015-02-03,299,2410,0,3,1,2
B02598,2015-02-03,991,9602,0,3,1,2
B02512,2015-02-03,257,1915,0,3,1,2
B02764,2015-02-03,3674,31641,0,3,1,2
B02617,2015-02-03,1350,12665,0,3,1,2
B02682,2015-02-03,1269,11955,0,3,1,2
B02764,2015-02-04,3856,29994,0,4,2,2
B02765,2015-02-04,309,2334,0,4,2,2
B02512,2015-02-04,244,1639,0,4,2,2
B02682,2015-02-04,1311,11309,0,4,2,2
B02617,2015-02-04,1393,11959,0,4,2,2
B02598,2015-02-04,1072,9600,0,4,2,2
B02617,2015-02-05,1524,14499,0,5,3,2
B02682,2015-02-05,1418,13782,0,5,3,2
B02598,2015-02-05,1179,11609,0,5,3,2
B02512,2015-02-05,264,2022,0,5,3,2
B02765,2015-02-05,355,3011,0,5,3,2
B02764,2015-02-05,4093,35990,0,5,3,2
B02617,2015-02-06,1526,15417,0,6,4,2
B02765,2015-02-06,385,3569,0,6,4,2
B02598,2015-02-06,1181,11897,0,6,4,2
B02512,2015-02-06,261,1989,0,6,4,2
B02764,2015-02-06,4170,38693,0,6,4,2
B02682,2015-02-06,1414,14375,0,6,4,2
B02598,2015-02-07,1031,10512,0,7,5,2
B02512,2015-02-07,211,1504,0,7,5,2
B02617,2015-02-07,1383,13688,0,7,5,2
B02682,2015-02-07,1300,13450,0,7,5,2
B02764,2015-02-07,3849,38530,0,7,5,2
B02765,2015-02-07,345,3473,0,7,5,2
B02764,2015-02-08,3422,29692,0,8,6,2
B02765,2015-02-08,313,2623,0,8,6,2
B02598,2015-02-08,923,8129,0,8,6,2
B02617,2015-02-08,1256,11004,0,8,6,2
B02682,2015-02-08,1136,10356,0,8,6,2
B02512,2015-02-08,176,1196,0,8,6,2
B02617,2015-02-09,1312,10887,0,9,0,2
B02682,2015-02-09,1241,10209,0,9,0,2
B02598,2015-02-09,976,8135,0,9,0,2
B02764,2015-02-09,3543,28266,0,9,0,2
B02512,2015-02-09,228,1565,0,9,0,2
B02765,2015-02-09,388,2894,0,9,0,2
B02764,2015-02-10,3700,29124,0,10,1,2
B02512,2015-02-10,233,1555,0,10,1,2
B02617,2015-02-10,1364,11401,0,10,1,2
B02765,2015-02-10,422,3432,0,10,1,2
B02682,2015-02-10,1281,10536,0,10,1,2
B02598,2015-02-10,1029,8718,0,10,1,2
B02617,2015-02-11,1450,12749,0,11,2,2
B02764,2015-02-11,3849,31889,0,11,2,2
B02512,2015-02-11,255,1831,0,11,2,2
B02598,2015-02-11,1115,10034,0,11,2,2
B02765,2015-02-11,450,3778,0,11,2,2
B02682,2015-02-11,1396,12189,0,11,2,2
B02617,2015-02-12,1532,14263,0,12,3,2
B02512,2015-02-12,269,2092,0,12,3,2
B02682,2015-02-12,1468,13786,0,12,3,2
B02765,2015-02-12,536,4609,0,12,3,2
B02598,2015-02-12,1181,11640,0,12,3,2
B02764,2015-02-12,4137,36844,0,12,3,2
B02617,2015-02-13,1590,16996,0,13,4,2
